Anomaly ID,Session ID,Rule,Rule Name,Severity,Timestamp,Source A (Measured),Source B (Reference),Dev Value,Dev %,Unit,Description,Ack.,Resolved
A03-2026-05-12T11:24:00Z,SES-2026-004,A03,Density Deviation,MEDIUM,2026-05-12T11:24:00Z,MFM density_15c: 985.9 kg/m³,BDN density_15c: 989.7 kg/m³,3.80,0.38%,kg/m³,Density 3.8 kg/m³ below BDN declared. Within monitoring threshold.,Yes,Yes
A04-2026-05-14T12:32:00Z,SES-2026-008,A04,Flow Rate Anomaly,MEDIUM,2026-05-14T12:32:00Z,MFM flow_rate: 0.0 MT/h for 150 sec,Expected flow: ~82.8 MT/h,82.80,100.00%,MT/h,Zero flow for 150s at 12:32. Confirmed barge tank switch.,Yes,Yes
A01-2026-05-14T13:05:00Z,SES-2026-008,A01,Quantity Trajectory Deviation,HIGH,2026-05-14T13:05:00Z,MFM cumulative: 189.2 MT (2.07 hrs),Expected trajectory: 201.8 MT,12.60,6.25%,MT,Delivery 6.25% below trajectory following flow interruption.,Yes,Yes
A01-2026-05-16T11:18:00Z,SES-2026-012,A01,Quantity Trajectory Deviation,HIGH,2026-05-16T11:18:00Z,MFM cumulative: 212.4 MT (1.8 hrs),Expected trajectory: 225.0 MT,12.60,5.60%,MT,Delivery 5.6% below expected. Consistent low flow rate.,Yes,Yes
A02-2026-05-16T14:18:00Z,SES-2026-012,A02,Quantity Final Mismatch,CRITICAL,2026-05-16T14:18:00Z,MFM final: 585.0 MT,BDN declared: 600.0 MT,15.00,2.50%,MT,"MFM 585.0 MT vs BDN 600.0 MT. Short delivery 15.0 MT. Est. impact: USD $8,775.",Yes,Yes
A01-2026-06-10T11:45:00Z,SES-2026-016,A01,Quantity Trajectory Deviation,HIGH,2026-06-10T11:45:00Z,MFM cumulative: 168.2 MT (1.5 hrs),Expected trajectory: 187.5 MT,19.30,10.30%,MT,Delivery 10.3% below trajectory at 1.5hr mark. Consistent with prior MegaFuel pattern.,Yes,Yes
A02-2026-06-10T14:32:00Z,SES-2026-016,A02,Quantity Final Mismatch,CRITICAL,2026-06-10T14:32:00Z,MFM final: 481.2 MT,BDN declared: 500.0 MT,18.80,3.76%,MT,"Final MFM 481.2 MT vs BDN 500.0 MT. Short 18.8 MT (3.76%). Est. impact: USD $11,000.",Yes,Yes
A01-2026-06-10T16:28:00Z,SES-2026-019,A01,Quantity Trajectory Deviation,HIGH,2026-06-10T16:28:00Z,MFM cumulative: 117.3 MT (1.47 hrs),Expected trajectory: 121.0 MT,3.70,3.06%,MT,3.06% below trajectory. FLEET ALERT active — same barge as SES-2026-016.,No — Active,No — Active
A10-2026-06-11T07:08:00Z,SES-2026-021,A10,Grade Mismatch,CRITICAL,2026-06-11T07:08:00Z,BDN product_grade: HSFO RMG 380,BRF ordered_grade: VLSFO RMG 380,—,—,grade,BDN declares HSFO but BRF ordered VLSFO. Critical grade mismatch confirmed on BDN parse.,Yes,Yes
A08-2026-06-11T07:08:00Z,SES-2026-021,A08,Sulphur Non-Compliance,CRITICAL,2026-06-11T07:08:00Z,BDN sulphur_pct: 3.42%,MARPOL limit (non-ECA): 0.50%,2.92,584.00%,% excess,Sulphur 3.42% exceeds MARPOL Annex VI 0.50% limit by 584%. Delivery non-compliant.,Yes,Yes
A09-2026-06-12T09:04:00Z,SES-2026-022,A09,Flash Point Violation,CRITICAL,2026-06-12T09:04:00Z,BDN flash_point: 58.0°C,SOLAS Reg II-2/4.2.1 minimum: 60.0°C,2.00,3.33%,°C below,Flash point 58°C is 2°C below SOLAS minimum 60°C. Safety non-compliance. Delivery halted.,Yes,Yes
A01-2026-06-12T10:15:00Z,SES-2026-022,A01,Quantity Trajectory Deviation,HIGH,2026-06-12T10:15:00Z,MFM cumulative: 84.2 MT (1.25 hrs),Expected trajectory: 90.3 MT,6.10,6.75%,MT,Delivery 6.75% below trajectory. Combined with flash point issue — session halted.,Yes,Yes
A15-2026-06-12T14:32:00Z,SES-2026-023,A15,Supplier Unlicensed,CRITICAL,2026-06-12T14:32:00Z,BDN supplier_licence: Not found in MPA registry,MPA Bunker Supplier Registry: 0 matches for OceanBunker International,—,—,—,Supplier MPA licence not found in registry. All unlicensed deliveries are illegal under MPA regulations. Session halted immediately.,Yes,Yes
SEC01-2026-05-16T11:20:00Z,SES-2026-012,SEC01,e-BDN Authenticity,CRITICAL,2026-05-16T11:20:00Z,MPA e-BDN registry: MISMATCH,Submitted BDN-SG-2026-05-0012 quantity/signature,N/A,N/A,—,e-BDN verification returned MISMATCH against MPA registry. Signature payload SHA256 differs from registered value.,Yes,No
SEC02-2026-05-14T13:05:00Z,SES-2026-008,SEC02,MFM Stream Integrity,HIGH,2026-05-14T13:05:00Z,Duplicate seq_no=47 at 12:34 and 12:36,Expected monotonic sequence,1,N/A,packet,Duplicate MFM telemetry packet detected (replayed sequence number). Potential tampering or transmission fault.,Yes,Yes
SEC02-2026-05-20T09:42:00Z,SES-2026-024,SEC02,MFM Stream Integrity,CRITICAL,2026-05-20T09:42:00Z,Stream gap 38% of expected duration,Expected continuous 1Hz telemetry,38,38%,stream,MFM stream lost for sustained period. Quantity cannot be verified. INSUFFICIENT_DATA state triggered.,Yes,No
