Session ID,Vessel,Vessel IMO,Barge,Barge IMO,Supplier,MPA Licence,Port,Fuel Grade,BDN Qty (MT),MFM Qty (MT),Dev (MT),Dev %,Date,Start,End,Duration (h),Risk Score,Risk Cat.,Verdict,LoP,TX Hash,Status,Notes,Evidence SHA256,Data Quality %,Meter Serial,Dataset Classification,Vessel Evidence Source,Barge Evidence Source,MFM Serial Evidence Source,Price Evidence Source,AIS Evidence Status
SES-2026-001,MAERSK HONAM,9778791,ALLI,0786A,BunkerGuard Demo Supplier Alpha Pte Ltd,DEMO-MPA-LIC-001,"Singapore, Eastern Anchorage",VLSFO RMG 380,850.0,848.3,-1.7,-0.20%,2026-05-10,06:00,14:28,8.47,12,LOW,SIGN,No,0x3c4a8f21e9b7d5c3,COMPLETED,Clean delivery. All parameters within tolerance.,0xed4e61fa8ac034be,100,13228354,real_registry_reference + simulated_delivery_transaction,MockDataset/real/equasis_vessels.csv,MPA Bunker Tanker List - 19 May 2026,MPA Bunker Tanker List - 19 May 2026,"Ship & Bunker Singapore VLSFO, fetched 2026-05-21",not_joined; see Barge_AIS_References.csv
SES-2026-004,MSC OSCAR,9457710,ALPHA,0646F,BunkerGuard Demo Supplier Alpha Pte Ltd,DEMO-MPA-LIC-001,"Singapore, Jurong Anchorage",HSFO RMG 380,"1,200.0","1,195.8",-4.2,-0.35%,2026-05-12,08:15,18:45,10.50,18,LOW,SIGN,No,0x7a1b3e90f2c4d8e1,COMPLETED,Minor density variance at 11:20. Within acceptable limits.,0x192e930306d30390,100,NC0E3A02000,real_registry_reference + simulated_delivery_transaction,MockDataset/real/equasis_vessels.csv,MPA Bunker Tanker List - 19 May 2026,MPA Bunker Tanker List - 19 May 2026,"Ship & Bunker Singapore VLSFO, fetched 2026-05-21",not_joined; see Barge_AIS_References.csv
SES-2026-008,CMA CGM ANTOINE DE SAINT EXUPERY,9839430,AMALTHEA,2807I,BunkerGuard Demo Supplier Beta Pte Ltd,DEMO-MPA-LIC-002,"Singapore, Eastern Anchorage",DMA (MGO),320.0,313.6,-6.4,-2.00%,2026-05-14,11:00,14:52,3.87,42,MODERATE,SIGN_WITH_NOTES,No,0x5f8d2c47a3b9e210,COMPLETED,Flow rate drop at 12:32 (barge tank switch). Notes recorded.,0xb7bab955c5448db8,100,13477452,real_registry_reference + simulated_delivery_transaction,MockDataset/real/equasis_vessels.csv,MPA Bunker Tanker List - 19 May 2026,MPA Bunker Tanker List - 19 May 2026,"Ship & Bunker Singapore VLSFO, fetched 2026-05-21",not_joined; see Barge_AIS_References.csv
SES-2026-012,MAERSK HONAM,9778791,AQUA 6,0677F,BunkerGuard Demo Supplier Gamma Pte Ltd,DEMO-MPA-LIC-003,"Singapore, Eastern Anchorage",VLSFO RMG 380,600.0,585.0,-15.0,-2.50%,2026-05-16,09:30,14:18,4.80,85,CRITICAL,REFUSE_TO_SIGN,Yes,0x2e9c7b15d4a8f302,COMPLETED,e-BDN authenticity mismatch. Delivery cannot be accepted until registry record is resolved.,0x23604ace4ba342f5,100,L30EC502000,real_registry_reference + simulated_delivery_transaction,MockDataset/real/equasis_vessels.csv,MPA Bunker Tanker List - 19 May 2026,MPA Bunker Tanker List - 19 May 2026,"Ship & Bunker Singapore VLSFO, fetched 2026-05-21",not_joined; see Barge_AIS_References.csv
SES-2026-016,EVER GIVEN,9776002,ALLI,0786A,BunkerGuard Demo Supplier Gamma Pte Ltd,DEMO-MPA-LIC-003,"Singapore, Eastern Anchorage",VLSFO RMG 380,500.0,481.2,-18.8,-3.76%,2026-06-10,10:15,14:32,4.28,78,CRITICAL,REFUSE_TO_SIGN,Yes,0x7e4a9d83c2f15b40,COMPLETED,Systematic 3.76% short delivery. LoP issued. Port-wide fleet alert triggered.,0x6f4f17afdad7f7fc,100,13228354,real_registry_reference + simulated_delivery_transaction,MockDataset/real/equasis_vessels.csv,MPA Bunker Tanker List - 19 May 2026,MPA Bunker Tanker List - 19 May 2026,"Ship & Bunker Singapore VLSFO, fetched 2026-05-21",not_joined; see Barge_AIS_References.csv
SES-2026-019,MSC OSCAR,9457710,ALLI,0786A,BunkerGuard Demo Supplier Gamma Pte Ltd,DEMO-MPA-LIC-003,"Singapore, Eastern Anchorage",VLSFO RMG 380,750.0,,,,2026-06-10,15:00,,,67,HIGH,PENDING,No,,ACTIVE,FLEET ALERT active. -2.8% trajectory deviation at 1hr mark.,0xcb70660a216cff27,100,13228354,real_registry_reference + simulated_delivery_transaction,MockDataset/real/equasis_vessels.csv,MPA Bunker Tanker List - 19 May 2026,MPA Bunker Tanker List - 19 May 2026,"Ship & Bunker Singapore VLSFO, fetched 2026-05-21",not_joined; see Barge_AIS_References.csv
SES-2026-020,OOCL HONG KONG,9711200,ALPHA,0646F,BunkerGuard Demo Supplier Gamma Pte Ltd,DEMO-MPA-LIC-003,"Singapore, Jurong Anchorage",HSFO RMG 380,"1,100.0",,,,2026-06-10,16:00,,,45,MODERATE,PENDING,No,,ACTIVE,FLEET ALERT received. -1.2% at 1hr mark.,0x19f80ef782b8a7a8,100,NC0E3A02000,real_registry_reference + simulated_delivery_transaction,MockDataset/real/equasis_vessels.csv,MPA Bunker Tanker List - 19 May 2026,MPA Bunker Tanker List - 19 May 2026,"Ship & Bunker Singapore VLSFO, fetched 2026-05-21",not_joined; see Barge_AIS_References.csv
SES-2026-021,CMA CGM ANTOINE DE SAINT EXUPERY,9839430,ALPHA,0646F,BunkerGuard Demo Supplier Alpha Pte Ltd,DEMO-MPA-LIC-001,"Singapore, Eastern Anchorage",HSFO RMG 380,480.0,478.9,-1.1,-0.23%,2026-06-11,07:00,12:20,5.33,85,CRITICAL,REFUSE_TO_SIGN,No,0x9b3e7f21c4a8d506,COMPLETED,GRADE MISMATCH: BDN declares HSFO (sulphur 3.42%). BRF ordered VLSFO. MARPOL violation. Session halted immediately.,0xc2551a44cd2ad22d,100,NC0E3A02000,real_registry_reference + simulated_delivery_transaction,MockDataset/real/equasis_vessels.csv,MPA Bunker Tanker List - 19 May 2026,MPA Bunker Tanker List - 19 May 2026,"Ship & Bunker Singapore VLSFO, fetched 2026-05-21",not_joined; see Barge_AIS_References.csv
SES-2026-022,EVER GIVEN,9776002,AMALTHEA,2807I,BunkerGuard Demo Supplier Beta Pte Ltd,DEMO-MPA-LIC-002,"Singapore, Eastern Anchorage",DMA (MGO),180.0,177.3,-2.7,-1.50%,2026-06-12,09:00,11:52,2.87,72,CRITICAL,REFUSE_TO_SIGN,Yes,0x4d2c8a91f7b3e062,COMPLETED,FLASH POINT VIOLATION: 58°C below SOLAS 60°C minimum. Delivery rejected. Independent lab re-test requested.,0x28cfb9dbf936748b,100,13477452,real_registry_reference + simulated_delivery_transaction,MockDataset/real/equasis_vessels.csv,MPA Bunker Tanker List - 19 May 2026,MPA Bunker Tanker List - 19 May 2026,"Ship & Bunker Singapore VLSFO, fetched 2026-05-21",not_joined; see Barge_AIS_References.csv
SES-2026-023,MAERSK HONAM,9778791,MT Ocean Barge 1,"9,988,001",OceanBunker International,NONE — NOT REGISTERED,Singapore,VLSFO RMG 380,650.0,,,,2026-06-12,14:30,14:45,0.25,92,CRITICAL,REFUSE_TO_SIGN,No,0x1f7a4c29e8b50d3a,COMPLETED,UNLICENSED SUPPLIER: OceanBunker International not found in MPA registry. Operations halted at 14:32. MPA Port Authority notified.,0x67851b27edba398e,100,UNKNOWN,real_registry_reference + simulated_delivery_transaction,MockDataset/real/equasis_vessels.csv,MPA Bunker Tanker List - 19 May 2026,MPA Bunker Tanker List - 19 May 2026,"Ship & Bunker Singapore VLSFO, fetched 2026-05-21",not_joined; see Barge_AIS_References.csv
SES-2026-024,MAERSK HONAM,9778791,AMALTHEA,2807I,BunkerGuard Demo Supplier Alpha Pte Ltd,DEMO-MPA-LIC-001,"Singapore, Eastern Anchorage",VLSFO RMG 380,500.0,,,,2026-05-20,09:00,10:35,1.58,,INSUFFICIENT_DATA,SIGN_WITH_LOP,Yes,0xb258e7faf8657f9c,HALTED,MFM stream gap >30% of expected duration. Cannot assess quantity.,0xa62f76dfa8706a6b,62,13477452,real_registry_reference + simulated_delivery_transaction,MockDataset/real/equasis_vessels.csv,MPA Bunker Tanker List - 19 May 2026,MPA Bunker Tanker List - 19 May 2026,"Ship & Bunker Singapore VLSFO, fetched 2026-05-21",not_joined; see Barge_AIS_References.csv
