section,source_or_item,what_you_get,use_for,workbook_status,merge_decision,verification_note
,BunkerCheck AI — Dataset Provenance & Real Data Sources,,,,reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
,"What is real, what is simulated, and where to get the real data",,,,reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
"TIER 1 — Real, Free, Downloadable, Use Immediately","EMSA THETIS-MRV
https://mrv.emsa.europa.eu",Public EU MRV emission-report register and annual ship emissions context; bulk CSV endpoint not fetched in this audit.,Real vessel IMOs and realistic annual fuel volumes. Supplier-independent baseline.,reference_only; not used as transactional source,reference_only,Fetched site returned public/register flow; do not claim live EMSA CSV integration unless separately downloaded.
"TIER 1 — Real, Free, Downloadable, Use Immediately","Ship & Bunker
https://shipandbunker.com/prices/apac/sea/sg-sin-singapore",Daily Singapore VLSFO / HSFO / MGO / Biofuel prices. Public HTML table.,VLSFO spot price for financial_impact_usd calculation. Scrape daily to keep live.,v3 uses latest fetched VLSFO 865.50 USD/MT; workbook 718 USD/MT is stale/not used,reference_only,Latest public table fetched 2026-05-21; see Fuel_Prices_Extended.csv.
"TIER 1 — Real, Free, Downloadable, Use Immediately","MPA Singapore — Port Statistics
https://www.mpa.gov.sg/port-marine-ops/port/port-statistics",Monthly bunker sales by fuel type (Singapore total).,Aggregate market context. Supplier-share denominators.,"✓ Referenced in
Fuel_Parameters notes",reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
"TIER 1 — Real, Free, Downloadable, Use Immediately","MPA Licensed Bunker Suppliers List
(PDF on MPA bunkering page)",Public MPA PDF list of licensed bunker suppliers; v3 uses it as positive-list registry evidence.,Replace fictional suppliers with real MPA-licensed names (huge credibility boost).,reference_only; simulated incident suppliers remain synthetic demo entities,reference_only,Do not attach simulated anomalies to real supplier names. Supplier licence IDs in transactions are synthetic demo IDs.
"TIER 1 — Real, Free, Downloadable, Use Immediately","AIS Hub / aisstream.io
(free API key)","Live vessel position, speed, heading by MMSI/IMO.",Real A10/A11 rule demo (barge-vessel proximity). Wire to session.ais data.,"⚡ Recommended
for live demo",reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
"TIER 1 — Real, Free, Downloadable, Use Immediately",Equasis — https://www.equasis.org,"Ship particulars by IMO: flag, class, tonnage, type, port state inspections.",Real vessel master data for session.ais.vessel. Free after login.,"⚡ Recommended
for live demo",reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
"TIER 1 — Real, Free, Downloadable, Use Immediately","GISIS — IMO Public Modules
https://gisis.imo.org","IMO numbers, ship registry, MARPOL deficiencies, port state control.",Vessel verification (cross-check BDN vessel_imo against registry).,"⚡ Recommended
for live demo",reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
TIER 2 — Useful Reference (not downloadable as data),IMO MEPC / MARPOL Annex VI,"Sulphur limit text (0.50% global, 0.10% ECA) and enforcement guidance.",Anomaly rule A08 threshold. Already aligned in Fuel_Parameters sheet.,✓ Aligned,reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
TIER 2 — Useful Reference (not downloadable as data),ISO 8217:2024,"Marine fuel spec — density, viscosity, flash point, Al+Si, CCAI limits per grade.",All limits in Fuel_Parameters sheet sourced from ISO 8217 summary (MPA site).,✓ Aligned,reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
TIER 2 — Useful Reference (not downloadable as data),CISA ICS Advisories,"Public OT cyber incidents, including maritime SCADA/MFM vulnerabilities.","Cite in pitch: MFM tampering is a known cyber attack vector, not just accidental.",📌 Cite in pitch,reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
TIER 2 — Useful Reference (not downloadable as data),MPA Port Marine Circulars,"MPA guidelines for bunkering operations, spill prevention, eBDN adoption.",Legal basis for BDN disputes. Circular No.13 of 2025 referenced in LoP drafts.,✓ Referenced,reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
TIER 3 — Must Stay Simulated (proprietary / confidential),Per-delivery BDN records,Proprietary to MPA and suppliers. Not published per-delivery.,BDN_Records sheet,Mock. This is the product gap BunkerCheck fills.,reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
TIER 3 — Must Stay Simulated (proprietary / confidential),Raw MFM telemetry streams,Proprietary to Emerson / Endress+Hauser. Owned by bunker suppliers.,MFM_Stream sheet,Mock. Profiles based on MEPC.1/Circ.891 tolerances.,reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
TIER 3 — Must Stay Simulated (proprietary / confidential),Supplier discrepancy history,Not published per-supplier. Exists only in internal MPA records.,"Historical_Transactions, Supplier_Registry",Mock. This is exactly why BunkerCheck needs to exist.,reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
TIER 3 — Must Stay Simulated (proprietary / confidential),Surveyor / LoP records,"Confidential. P&I club records, arbitration-protected.",Anomaly_Log sheet,Mock. Real LoP drafts generated by AI Copilot (Stage 4).,reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
TIER 3 — Must Stay Simulated (proprietary / confidential),"→ Keeping MFM_Stream, BDN_Records, and Anomaly_Log as simulated data is not a weakness — it IS the pitch. ""This data doesn't exist publicly. That's exactly why BunkerCheck needs to exist.""",,,,reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
"CURRENT SINGAPORE BUNKER PRICES (Ship & Bunker, May 2026)",VLSFO (0.50% S),865.50 USD/MT,Ship & Bunker Singapore,corrected from workbook 718 USD/MT to latest fetched Ship & Bunker value,reference_only,Latest public table fetched 2026-05-21.
"CURRENT SINGAPORE BUNKER PRICES (Ship & Bunker, May 2026)",HSFO 380 (3.50% S),$545.00 / MT,Ship & Bunker Singapore,Updated in dataset,reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
"CURRENT SINGAPORE BUNKER PRICES (Ship & Bunker, May 2026)",MGO / DMA (0.50% S),$785.00 / MT,Ship & Bunker Singapore,Updated in dataset,reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
"CURRENT SINGAPORE BUNKER PRICES (Ship & Bunker, May 2026)",Bio-VLSFO B24,~$780 / MT (est.),Integr8 Fuels / MPA stats,Reference only,reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
BARGE DATA SOURCE — Real Singapore-Registered Bunkering Tankers,Barge IMOs and MMSI numbers used in this dataset are real Singapore-registered bunkering tankers sourced from public MarineTraffic AIS records (May 2026). Barge names in the dataset are fictional (to avoid reputational association with real vessels in simulated fraud scenarios). Real IMOs enable live AIS lookup via aisstream.io for the Anomaly A14 proximity rule demo. See VESSELS_AIS sheet.,,,,reference_only,Merged from MockDataset_1.xlsx; independently verified where a matching v3/real file exists.
VERIFIED LIVE PRICE CHECK,Ship & Bunker Singapore VLSFO,Latest public HTML table shows W May 20 = 865.50 USD/MT,Financial impact in Risk_Scores.csv and Stage 3 audit.financial_impact,v3 uses latest fetched VLSFO 865.50 USD/MT; workbook 718 USD/MT is stale/not used,use_v3_real_price_file,Latest public table fetched 2026-05-21; see Fuel_Prices_Extended.csv.
